-,ꢒ,ꢒꣂꢜ꣄,sourashtra,,,'ꢒꢜ':1 'kot':2 'koṭ':3 'where':4 'எங':5,interrogative|question,कोट्|கோட்|kot'|koT|koṭ|koːʈ,,"{""""script"""":""""sourashtra"""",""""category"""":""""pronoun"""",""""type"""":""""abstract""""}"
^,,where,english,,english,,interrogative|question,,pron,
^,,எங்கே,tamil,,tamil,'எஙக':1 'where':2 'எங':3,interrogative|question,கோட்,pron,
-,ꢒ,ꢒꢶꢡ꣄ꢒ,sourashtra,,,'ꢒꢡꢒ':1 'kitka':2 'how':3 'many':4 'எத':5 'தன':6,interrogative|question,कित्क|கித்க|kitka|kitka|kitka|kɪt̪kə,,"{""""script"""":""""sourashtra"""",""""category"""":""""pronoun"""",""""type"""":""""abstract""""}"
^,,how many,english,,english,,interrogative|question,,pron,
^,,எத்தனை,tamil,,tamil,'எததன':1 'how':2 'many':3 'எத':4 'தன':5,interrogative|question,கித்க,pron,
-,ꢒ,ꢒꢶꢡ꣄ꢒꢫꣁ,sourashtra,,,'ꢒꢡꢒꢫ':1 'kitkayo':2 'kitkayŏ':3 'how':4 'manieth':5 'எத':6 'தன':7 'வத':8,interrogative|question,कित्कया॑|கித்கயொ|kitkayo'|kitkayO|kitkayŏ|kɪt̪kəjo,,"{""""script"""":""""sourashtra"""",""""category"""":""""pronoun"""",""""type"""":""""abstract""""}"
^,,how manieth,english,,english,,interrogative|question,,pron,
^,,எத்தனையாவது,tamil,,tamil,'எததனயவத':1 'how':2 'manieth':3 'எத':4 'தன':5 'வத':6,interrogative|question,கித்கயொ,pron,
-,ꢒ,ꢒꢶꢱꣁ,sourashtra,,,'ꢒꢱ':1 'kiso':2 'kisŏ':3 'how':4 'what':5 'way':6 'எப':7 'பட':8 'எவ':9 'வண':10 'ணம':11,interrogative|question,किसा॑|கிஸொ|kiso'|kisO|kisŏ|kɪs̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""pronoun"""",""""type"""":""""abstract""""}"
^,,how,english,,english,,interrogative|question,,pron,
^,,what way,english,,english,,interrogative|question,,pron,
^,,எப்படி,tamil,,tamil,'எபபட':1 'எப':2 'பட':3,interrogative|question,கிஸொ,pron,
^,,எவ்வண்ணம்,tamil,,tamil,'எவவணணம':1 'எவ':2 'வண':3 'ணம':4,interrogative|question,கிஸொ,pron,
^,,எவ்வாறு,tamil,,tamil,'எவவற':1 'எவ':2,interrogative|question,கிஸொ,pron,
